Repository,Result,Constraint,Line,Description
apache__curator,UNSAT,InterfacePolicy,,Interface Class485 contains non-abstract method Method2468
apache__curator,UNSAT,InterfacePolicy,,Interface Class486 contains non-abstract method Method2470
apache__curator,UNSAT,InterfacePolicy,,Interface Class486 contains non-abstract method Method2471
apache__curator,UNSAT,InterfacePolicy,,Interface Class487 contains non-abstract method Method2473
apache__curator,UNSAT,InterfacePolicy,,Interface Class487 contains non-abstract method Method2474
apache__curator,UNSAT,InterfacePolicy,,Interface Class488 contains non-abstract method Method2476
apache__curator,UNSAT,InterfacePolicy,,Interface Class488 contains non-abstract method Method2477
apache__curator,UNSAT,InterfacePolicy,,Interface Class489 contains non-abstract method Method2479
apache__curator,UNSAT,InterfacePolicy,,Interface Class489 contains non-abstract method Method2480
apache__curator,UNSAT,InterfacePolicy,,Interface Class490 contains non-abstract method Method2482
apache__curator,UNSAT,InterfacePolicy,,Interface Class490 contains non-abstract method Method2483
apache__curator,UNSAT,InterfacePolicy,,Interface Class491 contains non-abstract method Method2485
apache__curator,UNSAT,InterfacePolicy,,Interface Class491 contains non-abstract method Method2486
apache__curator,UNSAT,InterfacePolicy,,Interface Class492 contains non-abstract method Method2488
apache__curator,UNSAT,InterfacePolicy,,Interface Class492 contains non-abstract method Method2489
apache__curator,UNSAT,InterfacePolicy,,Interface Class493 contains non-abstract method Method2491
apache__curator,UNSAT,InterfacePolicy,,Interface Class493 contains non-abstract method Method2493
apache__curator,UNSAT,InterfacePolicy,,Interface Class328 has field Field796
apache__curator,UNSAT,InterfacePolicy,,Interface Class439 has field Field1053
apache__curator,UNSAT,InterfacePolicy,,Interface Class440 has field Field1054
apache__curator,UNSAT,InterfacePolicy,,Interface Class440 has field Field1055
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 has field Field1071
apache__curator,UNSAT,LocalMethodNamespace,,"Duplicate method name 'watchedGetChildren' in class Class8: Method41, Method42"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.multi.module.hello.Hello' used by: Class86, Class87, Class88, Class89"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.multi.module.api.Greeting' used by: Class84, Class85"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.multi.module.hi.Hi' used by: Class90, Class91"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.upgrades.bom.hello.Hello' used by: Class97, Class98"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.module.plugin.mojo.HelloMojo' used by: Class82, Class83"
apache__maven-mvnd,UNSAT,IdentifierIntegrity,,"Duplicate name 'org.mvndaemon.mvnd.test.single.module.Hello' used by: Class92, Class93"
apache__maven-mvnd,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method79
apache__maven-mvnd,UNSAT,InterfacePolicy,,Interface Class29 contains non-abstract method Method166
apache__maven-mvnd,UNSAT,InterfacePolicy,,Interface Class58 contains non-abstract method Method387
apache__maven-mvnd,UNSAT,InterfacePolicy,,Interface Class58 contains non-abstract method Method389
apache__maven-mvnd,UNSAT,LocalMethodNamespace,,"Duplicate method name 'put' in class Class16: Method45, Method46"
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method13
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method14
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method15
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method17
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method18
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method19
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method20
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method21
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method23
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method24
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method25
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method27
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method28
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method29
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class2 contains non-abstract method Method30
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method54
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method71
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method72
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method73
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method74
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method75
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method76
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method77
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method86
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method124
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method125
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class4 contains non-abstract method Method131
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method403
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class23 contains non-abstract method Method475
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class25 contains non-abstract method Method492
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class25 contains non-abstract method Method493
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class25 contains non-abstract method Method495
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class112 contains non-abstract method Method1083
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class112 contains non-abstract method Method1085
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class198 contains non-abstract method Method1582
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class198 contains non-abstract method Method1586
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class198 contains non-abstract method Method1587
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class198 contains non-abstract method Method1588
AsyncHttpClient__async-http-client,UNSAT,InterfacePolicy,,Interface Class133 has field Field628
AsyncHttpClient__async-http-client,UNSAT,LocalMethodNamespace,,"Duplicate method name 'onCompleted' in class Class0: Method1, Method2"
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class36 contains non-abstract method Method165
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class43 contains non-abstract method Method193
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class43 contains non-abstract method Method196
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class43 contains non-abstract method Method199
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class45 contains non-abstract method Method217
auth0__java-jwt,UNSAT,InterfacePolicy,,Interface Class45 contains non-abstract method Method221
auth0__java-jwt,UNSAT,LocalMethodNamespace,,"Duplicate method name 'verify' in class Class4: Method28, Method29"
awaitility__awaitility,UNSAT,InterfacePolicy,,Interface Class33 contains non-abstract method Method108
awaitility__awaitility,UNSAT,InterfacePolicy,,Interface Class33 contains non-abstract method Method110
awaitility__awaitility,UNSAT,InterfacePolicy,,Interface Class33 contains non-abstract method Method111
awaitility__awaitility,UNSAT,LocalMethodNamespace,,"Duplicate method name 'setDefaultFailFastCondition' in class Class0: Method19, Method20, Method21, Method22"
balysv__material-menu,SAT,,,All metamodel constraints hold
balysv__material-ripple,UNSAT,LocalMethodNamespace,,"Duplicate method name 'performRipple' in class Class0: Method19, Method20"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.check.SeataDataSourceProxyChecker' used by: Class11, Class12, Class13"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.processor.DsJakartaSessionProcessor' used by: Class78, Class79"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAopConfiguration' used by: Class89, Class90, Class91"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourcePoolMetricsAutoConfiguration' used by: Class97, Class98, Class99"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' used by: Class93, Class94, Class95"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DruidDynamicDataSourceConfiguration' used by: Class87, Class88"
baomidou__dynamic-datasource,UNSAT,IdentifierIntegrity,,"Duplicate name 'com.baomidou.dynamic.datasource.processor.DsJakartaHeaderProcessor' used by: Class76, Class77"
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field373
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field374
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field375
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field376
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field377
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field378
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field379
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field380
baomidou__dynamic-datasource,UNSAT,InterfacePolicy,,Interface Class66 has field Field381
baomidou__dynamic-datasource,UNSAT,LocalMethodNamespace,,"Duplicate method name 'createDataSource' in class Class53: Method99, Method100"
bastillion-io__Bastillion,UNSAT,LocalMethodNamespace,,"Duplicate method name 'getProperty' in class Class2: Method6, Method7, Method8"
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class31 contains non-abstract method Method908
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class31 contains non-abstract method Method912
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class31 contains non-abstract method Method913
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class34 contains non-abstract method Method985
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class34 contains non-abstract method Method986
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class34 contains non-abstract method Method987
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class44 contains non-abstract method Method1111
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class44 contains non-abstract method Method1112
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class44 contains non-abstract method Method1114
bethington__ghidra-mcp,UNSAT,InterfacePolicy,,Interface Class44 contains non-abstract method Method1115
bethington__ghidra-mcp,UNSAT,LocalMethodNamespace,,"Duplicate method name 'deleteLabel' in class Class0: Method63, Method64"
binarywang__weixin-java-mp-demo,UNSAT,LocalMethodNamespace,,"Duplicate method name 'menuDelete' in class Class7: Method12, Method13"
bk138__droidVNC-NG,SAT,,,All metamodel constraints hold
bonigarcia__webdrivermanager,UNSAT,LocalMethodNamespace,,"Duplicate method name 'getDockerNoVncUrl' in class Class2: Method92, Method93"
bramp__ffmpeg-cli-wrapper,UNSAT,LocalMethodNamespace,,"Duplicate method name 'throwOnError' in class Class1: Method7, Method8"
ByronNote__MinimalistWeather,UNSAT,LocalMethodNamespace,,"Duplicate method name 'statusBarDarkMode' in class Class9: Method11, Method12"
bytedance__scene,UNSAT,LocalMethodNamespace,,"Duplicate method name 'startActivityForResult' in class Class0: Method4, Method5"
bytedeco__javacpp,UNSAT,LocalMethodNamespace,,"Duplicate method name 'get' in class Class0: Method2, Method3"
bytedeco__javacv,UNSAT,LocalMethodNamespace,,"Duplicate method name 'convert' in class Class1: Method22, Method23, Method24"
cabaletta__baritone,UNSAT,InterfacePolicy,,Interface Class83 contains non-abstract method Method529
cabaletta__baritone,UNSAT,InterfacePolicy,,Interface Class83 contains non-abstract method Method530
cabaletta__baritone,UNSAT,InterfacePolicy,,Interface Class83 contains non-abstract method Method531
cabaletta__baritone,UNSAT,InterfacePolicy,,Interface Class83 contains non-abstract method Method532
